,lat,lon
721,-15.2005,-46.149
722,-15.2005,-45.849
723,-15.2005,-45.949
724,-15.2005,-45.549
725,-15.2005,-45.449
726,-15.2005,-45.649
727,-15.2005,-45.749
728,-15.2005,-44.949
729,-15.2005,-45.149
730,-15.2005,-45.349
731,-15.2005,-45.049
732,-15.2005,-45.249
733,-15.2005,-44.549
734,-15.2005,-44.749
735,-15.2005,-44.849
736,-15.2005,-44.649
737,-15.2005,-44.449
738,-15.2005,-44.149
739,-15.2005,-44.249
740,-15.2005,-44.349
741,-15.2005,-44.049
742,-15.2005,-43.649
743,-15.2005,-43.949
744,-15.2005,-43.849
745,-15.2005,-43.749
746,-15.2005,-43.249
747,-15.2005,-43.549
748,-15.2005,-43.449
749,-15.2005,-43.149
750,-15.2005,-43.349
751,-15.2005,-42.649
752,-15.2005,-43.049
753,-15.2005,-42.949
754,-15.2005,-42.749
755,-15.2005,-42.849
756,-15.2005,-42.249
757,-15.2005,-42.349
758,-15.2005,-42.449
759,-15.2005,-42.549
760,-15.2005,-42.149
761,-15.2005,-41.849
762,-15.2005,-41.749
763,-15.2005,-41.949
764,-15.2005,-42.049
765,-15.1005,-46.749
766,-15.1005,-46.849
767,-15.1005,-46.949
768,-15.1005,-46.649
769,-15.2005,-41.649
770,-15.1005,-46.449
771,-15.1005,-46.349
772,-15.1005,-46.249
773,-15.1005,-46.549
774,-15.1005,-46.049
775,-15.1005,-45.749
776,-15.1005,-45.949
777,-15.1005,-46.149
778,-15.1005,-45.849
779,-15.1005,-45.649
780,-15.1005,-45.449
781,-15.1005,-45.349
782,-15.1005,-45.549
783,-15.1005,-44.849
784,-15.1005,-45.049
785,-15.1005,-45.249
786,-15.1005,-45.149
787,-15.1005,-44.949
788,-15.1005,-44.349
789,-15.1005,-44.549
790,-15.1005,-44.449
791,-15.1005,-44.749
792,-15.1005,-44.649
793,-15.1005,-44.049
794,-15.1005,-43.849
795,-15.1005,-44.149
796,-15.1005,-44.249
797,-15.1005,-43.949
798,-15.1005,-43.649
799,-15.1005,-43.549
800,-15.1005,-43.749
801,-15.1005,-43.449
802,-15.1005,-43.049
803,-15.1005,-43.149
804,-15.1005,-43.349
805,-15.1005,-42.949
806,-15.1005,-43.249
807,-15.1005,-42.849
808,-15.1005,-42.449
809,-15.1005,-42.549
810,-15.1005,-42.649
811,-15.1005,-42.749
812,-15.1005,-41.849
813,-15.1005,-42.349
814,-15.1005,-42.249
815,-15.1005,-42.149
816,-15.0005,-46.749
817,-15.0005,-46.849
818,-15.0005,-46.549
819,-15.1005,-41.749
820,-15.0005,-46.949
821,-15.0005,-46.449
822,-15.0005,-46.049
823,-15.0005,-46.249
824,-15.0005,-46.149
825,-15.0005,-46.349
826,-15.0005,-45.649
827,-15.0005,-45.949
828,-15.0005,-45.549
829,-15.0005,-45.449
830,-15.0005,-44.949
831,-15.0005,-45.149
832,-15.0005,-45.349
833,-15.0005,-45.049
834,-15.0005,-45.249
835,-15.0005,-44.449
836,-15.0005,-44.649
837,-15.0005,-44.849
838,-15.0005,-44.549
839,-15.0005,-44.749
840,-15.0005,-44.349
841,-15.0005,-44.049
842,-15.0005,-44.249
843,-15.0005,-44.149
844,-15.0005,-43.949
845,-15.0005,-43.649
846,-15.0005,-43.749
847,-15.0005,-43.849
848,-15.0005,-43.549
849,-15.0005,-43.149
850,-15.0005,-43.049
851,-15.0005,-43.449
852,-15.0005,-43.349
853,-15.0005,-43.249
854,-15.0005,-42.749
855,-15.0005,-42.949
856,-15.0005,-42.549
857,-15.0005,-42.849
858,-15.0005,-42.649
859,-14.9005,-46.449
860,-14.9005,-46.549
861,-14.9005,-46.349
862,-15.0005,-42.449
863,-14.9005,-46.149
864,-14.9005,-45.549
865,-14.9005,-45.949
866,-14.9005,-46.249
867,-14.9005,-46.049
868,-14.9005,-45.149
869,-14.9005,-45.049
870,-14.9005,-45.249
871,-14.9005,-45.349
872,-14.9005,-45.449
873,-14.9005,-44.649
874,-14.9005,-44.549
875,-14.9005,-44.749
876,-14.9005,-44.849
877,-14.9005,-44.949
878,-14.9005,-44.249
879,-14.9005,-44.349
880,-14.9005,-44.449
881,-14.9005,-44.149
882,-14.9005,-43.649
883,-14.9005,-44.049
884,-14.9005,-43.849
885,-14.9005,-43.749
886,-14.9005,-43.949
887,-14.9005,-43.249
888,-14.9005,-43.549
889,-14.9005,-43.449
890,-14.9005,-43.349
891,-14.9005,-43.049
892,-14.9005,-42.849
893,-14.9005,-42.749
894,-14.9005,-42.949
895,-14.9005,-43.149
896,-14.8005,-46.449
897,-14.8005,-46.349
898,-14.8005,-46.549
899,-14.9005,-42.549
900,-14.9005,-42.649
901,-14.8005,-45.149
902,-14.8005,-44.949
903,-14.8005,-45.249
904,-14.8005,-45.049
905,-14.8005,-45.349
906,-14.8005,-44.549
907,-14.8005,-44.649
908,-14.8005,-44.849
909,-14.8005,-44.749
910,-14.8005,-44.049
911,-14.8005,-44.249
912,-14.8005,-44.149
913,-14.8005,-44.449
914,-14.8005,-44.349
915,-14.8005,-43.749
916,-14.8005,-43.549
917,-14.8005,-43.649
918,-14.8005,-43.849
919,-14.8005,-43.949
920,-14.8005,-43.449
921,-14.8005,-43.349
922,-14.8005,-43.149
923,-14.8005,-43.049
924,-14.8005,-43.249
925,-14.8005,-42.949
926,-14.8005,-42.749
927,-14.8005,-42.849
928,-14.7005,-46.549
929,-14.7005,-45.049
930,-14.7005,-45.149
931,-14.7005,-45.249
932,-14.7005,-44.949
933,-14.7005,-46.449
934,-14.7005,-44.649
935,-14.7005,-44.549
936,-14.7005,-44.749
937,-14.7005,-44.449
938,-14.7005,-44.849
939,-14.7005,-44.249
940,-14.7005,-44.349
941,-14.7005,-44.049
942,-14.7005,-44.149
943,-14.7005,-43.949
944,-14.7005,-43.449
945,-14.7005,-43.749
946,-14.7005,-43.649
947,-14.7005,-43.849
948,-14.7005,-43.049
949,-14.7005,-42.949
950,-14.7005,-43.249
951,-14.7005,-43.349
952,-14.7005,-43.149
953,-14.6005,-44.949
954,-14.6005,-44.849
955,-14.6005,-44.649
956,-14.6005,-44.749
957,-14.6005,-44.249
958,-14.6005,-44.149
959,-14.6005,-44.449
960,-14.6005,-44.549
961,-14.6005,-44.349
962,-14.6005,-43.849
963,-14.6005,-43.949
964,-14.6005,-44.049
965,-14.6005,-43.249
966,-14.5005,-44.649
967,-14.5005,-44.549
968,-14.5005,-44.749
969,-14.6005,-43.149
970,-14.5005,-44.849
971,-14.5005,-44.349
972,-14.5005,-44.249
973,-14.5005,-44.449
974,-14.5005,-44.149
975,-14.5005,-44.049
976,-14.5005,-43.849
977,-14.4005,-44.749
978,-14.5005,-43.949
979,-14.4005,-44.449
980,-14.4005,-44.549
981,-14.4005,-44.649
982,-14.4005,-44.149
983,-14.4005,-44.049
984,-14.4005,-44.349
985,-14.4005,-44.249
986,-14.4005,-43.949
987,-14.3005,-44.449
988,-14.3005,-44.549
989,-14.4005,-43.849
990,-14.3005,-44.349
991,-14.4005,-43.749
992,-14.3005,-43.949
993,-14.3005,-44.049
994,-14.3005,-44.149
995,-14.3005,-44.249
996,-14.2005,-44.249
997,-14.3005,-43.849
998,-14.2005,-44.349
999,-14.3005,-43.749
1000,-17.7005,-45.149
1001,-17.7005,-45.249
1002,-17.7005,-45.349
1003,-17.7005,-45.549
1004,-17.7005,-45.049
1005,-17.7005,-44.849
1006,-17.7005,-44.749
1007,-17.7005,-44.649
1008,-17.7005,-44.949
1009,-17.7005,-44.149
1010,-17.7005,-44.249
1011,-17.7005,-44.549
1012,-17.7005,-44.449
1013,-17.7005,-44.349
1014,-17.7005,-44.049
1015,-17.7005,-43.849
1016,-17.7005,-43.949
1017,-17.7005,-43.749
1018,-17.7005,-43.349
1019,-17.7005,-43.449
1020,-17.7005,-43.549
1021,-17.7005,-43.249
1022,-17.7005,-43.649
1023,-17.7005,-42.849
1024,-17.7005,-42.949
1025,-17.7005,-43.149
1026,-17.7005,-43.049
1027,-17.7005,-42.749
1028,-17.7005,-42.649
1029,-17.7005,-42.349
1030,-17.7005,-42.549
1031,-17.7005,-42.449
1032,-17.7005,-42.249
1033,-17.7005,-42.149
1034,-17.7005,-42.049
1035,-17.7005,-41.949
1036,-17.7005,-41.849
1037,-17.7005,-41.549
1038,-17.7005,-41.649
1039,-17.7005,-41.449
1040,-17.7005,-41.349
1041,-17.7005,-41.749
1042,-17.7005,-41.149
1043,-17.7005,-40.849
1044,-17.7005,-41.049
1045,-17.7005,-40.949
1046,-17.7005,-40.749
1047,-17.7005,-41.249
1048,-17.7005,-40.649
1049,-17.7005,-40.549
1050,-17.7005,-40.349
1051,-17.7005,-40.449
1052,-17.6005,-47.349
1053,-17.7005,-40.249
1054,-17.6005,-47.249
1055,-17.6005,-47.149
1056,-17.6005,-46.949
1057,-17.6005,-47.049
1058,-17.6005,-46.649
1059,-17.6005,-46.449
1060,-17.6005,-46.549
1061,-17.6005,-46.849
1062,-17.6005,-46.749
1063,-17.6005,-46.349
1064,-17.6005,-46.149
1065,-17.6005,-45.949
1066,-17.6005,-46.049
